id,10,20,30,40,50,60,70,80,90,100
1,104,193,288,391,493,596,698,796,893,989
2,104,202,295,397,497,595,695,793,895,995
3,104,197,304,397,495,598,695,796,898,991
4,104,195,297,397,493,595,698,795,896,989
5,104,198,300,395,500,593,698,796,896,989
6,104,198,298,400,502,598,698,798,895,989
